X,Y,id,comuna,descripcio,direccion,fecha_even,hora_event,altura_agu,latitud,longitud,latitud_D,longitud_D,fecha_lev,Field11,fecha_le_1,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,icon_url
-72.356668,-37.469083,"1",Los Angeles,Abarrotes,Colo Colo 768,2006-07-11,17:00:00,"16","-37.469083","-72.356668",-37.46908300000,-72.35666800000,,,,,,,,,,,,,,,,,,,./0.png
-72.353037,-37.469148,"2",Los Angeles,Importadora Premium,Colo Colo 538,2006-07-11,10:00:00,"58","-37.469148","-72.353037",-37.46914800000,-72.35303700000,,,,,,,,,,,,,,,,,,,./0.png
-72.352504,-37.469142,"3",Los Angeles,Ciber y Recargas,Colo Colo 512,2006-07-11,15:00:00,"64","-37.469142","-72.352504",-37.46914200000,-72.35250400000,,,,,,,,,,,,,,,,,,,./0.png
-72.351503,-37.469176,"4",Los Angeles,Optica BioBio,Colo Colo 460,2006-07-11,15:00:00,"63","-37.469176","-72.351503",-37.46917600000,-72.35150300000,,,,,,,,,,,,,,,,,,,./0.png
-72.348098,-37.467443,"5",Los Angeles,Carniceria (Centro de Carnes),Villagran 501,2018-05-28,10:00:00,"114","-37.467443","-72.348098",-37.46744300000,-72.34809800000,,,,,,,,,,,,,,,,,,,./0.png
-72.350729,-37.467932,"6",Los Angeles,Galeria Centro Espana,Colon 482,2006-07-11,15:00:00,"100","-37.467932","-72.350729",-37.46793200000,-72.35072900000,,,,,,,,,,,,,,,,,,,./0.png
-72.350934,-37.46921,"7",Los Angeles,Salcobrand,Colon 412,2006-07-11,15:00:00,"100","-37.46921","-72.350934",-37.46921000000,-72.35093400000,,,,,,,,,,,,,,,,,,,./0.png
-72.352056,-37.4674353,"8",Los Angeles,Lomito sureno,Valdivia 501,2006-07-11,15:00:00,"60","-37.4674353","-72.352056",-37.46743530000,-72.35205600000,,,,,,,,,,,,,,,,,,,./0.png
-72.352047,-37.466365,"9",Los Angeles,Servicio tecnico impresoras y respuestos de tintas,Av. Tucapel 336,2006-07-11,5:00:00,"30","-37.466365","-72.352047",-37.46636500000,-72.35204700000,,,,,,,,,,,,,,,,,,,./0.png
-72.352047,-37.466365,"10",Los Angeles,Servicio tecnico impresoras y respuestos de tintas,Av. Tucapel 337,2018-05-28,12:00:00,"0","-37.466365","-72.352047",-37.46636500000,-72.35204700000,,,,,,,,,,,,,,,,,,,./0.png
